id,text,sentiment,path,hashtag,inimagetext,pred,pred_raw
1285259740096987136,"o mi ridate la mia ship del cuore Monica e Nico o faccio una strage.

#chediociaiuti https://t.co/isA8mOk2Jo",negative,..\data\chediociaiuti\images\1285259740096987136.png,chediociaiuti,CLqulieg,negative,[0.49424797 0.07401445 0.43173763]
1260491626432077824,"Sappiate cari prof, cari autori, cara giuria... che a me

sta cosa

 ancora non mi è scesa giù #Amici19 #AmiciSpeciali #Amici15 https://t.co/5J2Ye0dzIp",negative,..\data\amici19\images\1260491626432077824.png,amici19,Ninln,negative,[0.9028169  0.02003593 0.0771471 ]
1320118291399049219,Ma il marito non era quello coinvolto nella storia delle baby squillo? #BallandoConLeStelle https://t.co/jRn3EvIzcb,negative,..\data\ballandoconlestelle\images\1320118291399049219.png,ballandoconlestelle, ,negative,[0.81616163 0.17230684 0.01153158]
1103773030210289664,"Gin, ma ci sei o ce la fai?!? 🤦🏻‍♀️
 #CheDioCiAiuti5 @CheDioCiAiuti_5 https://t.co/Yrb3dOCG4M",negative,..\data\chediociaiuti\images\1103773030210289664.png,chediociaiuti,CI SEI,negative,[0.46429166 0.43562955 0.10007881]
1218236128148455425,"La  storia tra Guido e azzurra doveva finire così 
Non perdonero mai i profitti di averli divisi 
#chediociaiuti https://t.co/GaUUWFtsyJ",negative,..\data\chediociaiuti\images\1218236128148455425.png,chediociaiuti, ,negative,[0.91922486 0.01811888 0.06265627]
1272525228489523202,Se tendete l’orecchio potete sentire il mio cuore che va in frantumi 💔 #amici19 #Amicispeciali #Javierrojas https://t.co/WmCleto3ia,negative,..\data\amici19\images\1272525228489523202.png,amici19,iaviufficialeBi AE AldezioAhadInvia messaggio,neutral,[0.14524831 0.4471147  0.40763703]
1320112085284605954,"Troppa benevolenza per la Isoardi. 
Non era neanche da 5. DAI! #BallandoConLeStelle https://t.co/4L5HLNFUMM",negative,..\data\ballandoconlestelle\images\1320112085284605954.png,ballandoconlestelle, ,negative,[0.86019516 0.0248381  0.11496665]
1320120179653812225,"I ""nipotini"" del ventennio finiscono tutti a #BallandoConLeStelle.
Prima Emanuele Filiberto 
Ora la Mussolini. 

Volendo si può trovare anche un'assonanza con i loro antenati. https://t.co/grpIdqa0MH",negative,..\data\ballandoconlestelle\images\1320120179653812225.png,ballandoconlestelle, ,negative,[0.50154597 0.44685778 0.05159631]
1320116754031513601,"Mi sono addormentata aspettando la conferenza stampa di #Conte 
Mi risveglio, vedo la pubblicità di un materasso con due che mimano il zin zin sul letto... mi dicono che è #BallandoConLeStelle 😁😄 
Oook... quindi sono ballerina anch'io? https://t.co/kr5AItxK92",negative,..\data\ballandoconlestelle\images\1320116754031513601.png,ballandoconlestelle,NO MATUIIDAPPOSTO,negative,[0.6380675  0.02785423 0.33407828]
1173349448816189441,"La coppia più bella delle serie tv. 

Sono riusciti a distruggerla e ancora mi chiedo perché 🤔 che senso ha 🤔 #GuidoCorsi #AzzurraLeonardi #CheDioCiAiuti #CheDioCiAiuti5 #LinoGuanciale #FrancescaChillemi https://t.co/8uMgyGK8mM",negative,..\data\chediociaiuti\images\1173349448816189441.png,chediociaiuti,j x,positive,[0.12466657 0.0579197  0.81741375]
1320118103435522051,"Devastati mentali che per vivere hanno disogno di follower ne abbiamo? Citofonare @Franco_sala e i suoi simili che gli chiedono disperatamente di seguirlo. 😂😂😂😂😂😂😂😂
#BallandoConLeStelle https://t.co/jEXvFkX7GO",negative,..\data\ballandoconlestelle\images\1320118103435522051.png,ballandoconlestelle,silosSTRUNZ,positive,[0.29646236 0.01720939 0.68632823]
1320101803367817216,Mariotto dà 10 perché ha visto che Costantino è molto seguito sui social  #BallandoConLeStelle https://t.co/xfPL7axdjQ,negative,..\data\ballandoconlestelle\images\1320101803367817216.png,ballandoconlestelle,NON NE POTEVO PIU,positive,[0.2059824  0.06862482 0.72539276]
1321341245185286145,concorrenti di amici19 che per guadagnare qualche followers in più pubblicano post di Gaia e lei giustamente non se li fila 😂😂 https://t.co/yJMx2gKKu7,negative,..\data\amici19\images\1321341245185286145.png,amici19,VIPERIS SEMIO QUELLI COME TE LI SGAMO,negative,[0.8802947  0.00884627 0.11085905]
1255199309039050752,"you,  invece,  deserve che te devi fa li cazzi tua, cosa non è chiaro?????????
#amici19 #javier #talisa https://t.co/Zmuus4ODvY",negative,..\data\amici19\images\1255199309039050752.png,amici19,GiadahsospesaGiadahsospesaplteNahhh non la prima g,negative,[0.8006451  0.14201364 0.05734121]
