,id,text,sentiment,path,hashtag,inimagetext
0,1240772681827581955,"NON CI POSSO CREDERE CHE GIOVEDÌ PROSSIMO NON CI SARÀ DON MATTEO CHE COSA FARÒ IO ADESSO 
#DonMatteo12 https://t.co/xWYxuO9HiL",negative,..\data\donmatteo12\images\1240772681827581955.png,donmatteo12,
1,1284940232358535169,#nondirloalmiocapo2 come si fa a tradire Vinci https://t.co/pnNKeNjxQT,negative,..\data\nondirloalmiocapo2\images\1284940232358535169.png,nondirloalmiocapo2,TRASH ITALIANONON SI FA COS
2,1240772520913055751,Non mi piace questa fine  #DonMatteo12 https://t.co/KKbPK0W24u,negative,..\data\donmatteo12\images\1240772520913055751.png,donmatteo12,ee
3,1319514844215844869,"Mood di adesso appena finito #DocNelleTueMani 
🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢🤢 https://t.co/3GsPMZRrPt",negative,..\data\docnelletuemani\images\1319514844215844869.png,docnelletuemani,
4,1235693685699940355,il titolo del dolce di Maria Teresa. #masterchefit https://t.co/rynaLciEWj,negative,..\data\masterchefit\images\1235693685699940355.png,masterchefit,x
5,1234620280934408192,io adesso ai produttori dell'#LAmicaGeniale: https://t.co/lsphpO68Qk,negative,..\data\lamicageniale\images\1234620280934408192.png,lamicageniale,AE BRINTTE INTENZIGNI LA MALFDUAZIONE
6,1287477630699294722,"Nina ma c'amma fa?

#nondirloalmiocapo2 https://t.co/wijXbpBkY1",negative,..\data\nondirloalmiocapo2\images\1287477630699294722.png,nondirloalmiocapo2,MA VUOI LITIGARE
7,1234611538918592517,"Pensavamo di non vedere più Nino Sarratore.
Nino: #LAmicaGeniale https://t.co/UnzNdTFd4y",negative,..\data\lamicageniale\images\1234611538918592517.png,lamicageniale,LiEneaEIETNIEz sE Ei aliidReplying to insilencexxe
8,1297628907525505025,#nondirloalmiocapo2 che vogliamo fare? Lisa resta https://t.co/bIKpTiqIGb,negative,..\data\nondirloalmiocapo2\images\1297628907525505025.png,nondirloalmiocapo2,
9,1240782839681073159,"voglio uno spin off di Anna, solo per vedere la sua espressione quando si renderà conto di aver lasciato andare l’uomo migliore del mondo #DonMatteo12 https://t.co/VY981QTgKE",negative,..\data\donmatteo12\images\1240782839681073159.png,donmatteo12,Stupid
10,1284944936383721474,"Peggio di Mia e Romeo, le scene con la sorella di Lisa 🤦🏼‍♀️ #nondirloalmiocapo2 https://t.co/mo0xXQfxvg",negative,..\data\nondirloalmiocapo2\images\1284944936383721474.png,nondirloalmiocapo2,
11,1319378638291275785,Ma io non voglio che torni con l'ex moglie #DocNelleTueMani https://t.co/pN9foEDFjf,negative,..\data\docnelletuemani\images\1319378638291275785.png,docnelletuemani,
12,1297624345251020800,Nina uhm  #nondirloalmiocapo2 https://t.co/dDxtWpZLaD,negative,..\data\nondirloalmiocapo2\images\1297624345251020800.png,nondirloalmiocapo2,NON NE POTEVO PIU
13,1300765092217335808,"Al tg1 parlano della nuova stagione televisiva che inzia settimana prossima
Peccato non ci sia tempo per #donmatteo12... Lo aspettavamo con ansia.... per insultare ancora un po' CHI DIAMINE HA AVUTO L'IDEA DI SCRIVERE QUELLA TRAMA TERRIBILE DOPO IL CAPOLAVORO CHE ERA #donmatteo11 https://t.co/nUEcBf0mFB",negative,..\data\donmatteo12\images\1300765092217335808.png,donmatteo12,
14,1319386318393180161,L’ennesima interruzione tra Andrea e Giulia: #DocNelleTueMani https://t.co/MNKfSHD7s7,negative,..\data\docnelletuemani\images\1319386318393180161.png,docnelletuemani,Hto
15,1321229219209367555,In che senso il taglio dei capelli lo vedremo pROSSIMO MARTEDÌ!??????????????????????? #ilcollegio https://t.co/2ICnlaFINY,negative,..\data\ilcollegio\images\1321229219209367555.png,ilcollegio,
16,1290020858061234177,#nondirloalmiocapo2 perché è entrato Diego? https://t.co/MPHQCmYfB3,negative,..\data\nondirloalmiocapo2\images\1290020858061234177.png,nondirloalmiocapo2,
17,1292574094408417282,#nondirloalmiocapo2 un pettegolo proprio https://t.co/YuCYK32l71,negative,..\data\nondirloalmiocapo2\images\1292574094408417282.png,nondirloalmiocapo2,Pi
18,1317804849631813634,Zia Mara nello zappatore 😳😳😳#DomenicaIn https://t.co/660tpQuj79,negative,..\data\domenicain\images\1317804849631813634.png,domenicain,TRASH ITALIGNOArtel
19,1234613808573960192,"#LAmicaGeniale
Lenù non puoi ricascarci, sei andata avanti, ti sei realizzata, lui ti farà cadere di nuovo nel baratro in cui eri finita FIGLIA MIA FERMATI https://t.co/g7NoyqwlaC",negative,..\data\lamicageniale\images\1234613808573960192.png,lamicageniale,
20,1290030850923520001,Enrico che spoilera la serata #nondirloalmiocapo2 https://t.co/X6iEPgqOBZ,negative,..\data\nondirloalmiocapo2\images\1290030850923520001.png,nondirloalmiocapo2,
21,1240776414510682112,È trascorsa una vita nel mentre. Non ci posso credere che sia finito finito finito davvero. #DonMatteo12 https://t.co/PK6Y6Z06Wu,negative,..\data\donmatteo12\images\1240776414510682112.png,donmatteo12,
22,1234608081188904960,"Ma non stanno insieme Lila ed Enzo 
#LAmicaGeniale https://t.co/W8JGVQ9u7n",negative,..\data\lamicageniale\images\1234608081188904960.png,lamicageniale,LA
23,1240772511912116229,"#DonMatteo12
Anna che non sceglie Marco https://t.co/V3c7p78H3p",negative,..\data\donmatteo12\images\1240772511912116229.png,donmatteo12,iMI VIENE Be pitaRE
24,1319393739694014472,“Devo saperlo per gli equilibri del reparto” AGNESE A CHI CI CREDEEEEEEEEEEEEEE #DocNelleTueMani https://t.co/d03pkKDJLv,negative,..\data\docnelletuemani\images\1319393739694014472.png,docnelletuemani,
25,1234622549700546560,Lenù ma che te ne fai di Nino Sarratore merda quando hai tra le mani un Franco Mari? #lamicageniale https://t.co/kS7tv5V9ew,negative,..\data\lamicageniale\images\1234622549700546560.png,lamicageniale,enuoE ge
26,1236704986030956545,L'È DURA senza #MasterChefIt 😢 Siate forti e aspettate la prossima stagione 🔜 https://t.co/9ozRgn0Oay,negative,..\data\masterchefit\images\1236704986030956545.png,masterchefit,et ele ei e leeptc iO
27,1250076071476764673,"IL SIGNOR MAURIZIO LASTRICO POSTA QUESTE FOTO SU INSTAGRAM CON DIDASCALIA ""NOSTALGIA DONMATTEIANA"" E MI RENDO CONTO CHE SIAMO TUTTI NELLA STESSA SITUAZIONE E POI DA DOVE ESCONO LA PRIMA E L'ULTIMA FOTO PRONTO POLIZIA SONO COSÌ BELLI PERCHÉ CE LI AVETE TOLTI😑
#Donmatteo12 https://t.co/V3nlkfXJ7Y",negative,..\data\donmatteo12\images\1250076071476764673.png,donmatteo12,sur r i
28,1240776858372911105,"Ultimamente le fiction Rai pullulano di gioie. 
#DonMatteo12 https://t.co/r1BN5zauOd",negative,..\data\donmatteo12\images\1240776858372911105.png,donmatteo12,
29,1188585408831148033,#ImmaTataranni #mimi https://t.co/a3a1LFk29g,negative,..\data\immatataranni\images\1188585408831148033.png,immatataranni,
30,1320460239557304327,Quando Fabio ha fatto l'esempio dei dipendenti della rai azzolina.exe ha definitivamente smesso di funzionare. #CTCF https://t.co/O7WSgO21d9,negative,..\data\CTCF\images\1320460239557304327.png,CTCF,trrorTodopFrrorJ
31,1296785404155371524,"Sante parole! Io, #DonMatteo12, lo attendevo con fiducia, impazienza e aspettative. Credevo gli autori, dopo varie peripezie, ci avrebbero regalato gioie e soddisfazioni. Col senno di poi, avrei preferito si fossero fermati a #DonMatteo11. 

#DonMatteo #DonMatteo13 #AnnaEMarco twitter.com/MirkoLB88/stat… https://t.co/oJHkQaGN9o",negative,..\data\donmatteo12\images\1296785404155371524.png,donmatteo12,BRAVISSIMO
32,1234618237654007812,"Ma quindi Nino Sarratore leggendo il libro ha scoperto che il padre ha violentato Lenù a Ischia! Come immagino l'apertura della terza stagione: Nino vs Donato.. 
#LAmicaGeniale2 #LAmicaGeniale #StoriaDelNuovoCognome https://t.co/xKeadRUbiP",negative,..\data\lamicageniale\images\1234618237654007812.png,lamicageniale,AE BRINTTE INTENZIGNI LA MALFDUAZIONE
33,1240776216094879745,"Contenta che la Capitana non sia morta,perché ho temuto sul serio,ma diciamolo...è un finale di m.
 La storia bellissima e perfetta tra Anna e Marco mandata a farsi benedire,lei sceglie di aspettare l'altro,e si abbracciano da amiconi.
...
 
#DonMatteo12 https://t.co/5sI5AO9R8o",negative,..\data\donmatteo12\images\1240776216094879745.png,donmatteo12,VIPERISSIMASONO SCONVOLTO ECCOIN POCHE PAROLE
34,1315276981227921411,"Quando ""Tu mi dissi... Mi dissi..."".
Mortaccivostri e der Canone. Aridatece er Maestro Manzi. 
#DeFilippi
#DomenicaIn
@RaiUnoTV
@RaiUno https://t.co/Ipvm0RgeLM",negative,..\data\domenicain\images\1315276981227921411.png,domenicain,yipriA j iNJsuv
35,1282391531337535488,MA BASTA MA FERMATE TUTTO AIUTO #lamicageniale https://t.co/yZ5krbUvCX,negative,..\data\lamicageniale\images\1282391531337535488.png,lamicageniale,Tweetgabrielenoi tivogliamo come la lila cerulo di
36,1321224570267934722,"non gli hanno ancora tagliato i capelli,, che palle #ilcollegio

 https://t.co/LDGdi5DFOX",negative,..\data\ilcollegio\images\1321224570267934722.png,ilcollegio,cu
37,1319377150340960261,"Chiara rappresentazione di Lorenzo che non è per niente turbato per il palo rifilatogli da Giulia.
#DOCNelleTueMani https://t.co/XtorLSsmWd",negative,..\data\docnelletuemani\images\1319377150340960261.png,docnelletuemani,
38,1240775574219563009,"DEDICATO A COLORO CHE HANNO SCRITTO QUESTO FINALE TRA ANNA E MARCO.

#donmatteo12 https://t.co/QIlksvJgdG",negative,..\data\donmatteo12\images\1240775574219563009.png,donmatteo12,LE BRUTTE INTENZIONILA MALEDUCAZIONELA TUA BRUTTA 
39,1240772885796605953,"Ma ve pare giusto far finire Don Matteo durante na pandemia mondiale?
#DonMatteo12 https://t.co/LSW7FayZGP",negative,..\data\donmatteo12\images\1240772885796605953.png,donmatteo12,
40,1301842704280752133,"Non vi perdonerò mai per averli distrutti 🥺
#donmatteo #donmatteo11 #donmatteo12 #donmatteo13 #annaemarco https://t.co/6vvyu2jDci",negative,..\data\donmatteo12\images\1301842704280752133.png,donmatteo12,
41,1240773795276828672,"Anna
#DonMatteo12 https://t.co/CZzkp2oZu2",negative,..\data\donmatteo12\images\1240773795276828672.png,donmatteo12,TRASH ITALIONOGHE GAZZO FATE
42,1319379409988669443,"LORENZO TI VOGLIO PRENDERE A SCHIAFFI MA CHE CAVOLO FAI 
#DocNelleTueMani https://t.co/anM5CCXGiv",negative,..\data\docnelletuemani\images\1319379409988669443.png,docnelletuemani,
43,1292569112246456322,Modella?  #nondirloalmiocapo2 https://t.co/BVay1SXrAW,negative,..\data\nondirloalmiocapo2\images\1292569112246456322.png,nondirloalmiocapo2,sANNAMOIBENE
44,1320472943634325505,"Litizzetto: Il Walter, la Yolanda e altre cose che non facevano ridere neanche 20 anni fa
Il pubblico di #CTCF: https://t.co/NOex3b5tux",negative,..\data\CTCF\images\1320472943634325505.png,CTCF,
45,1289602820119748608,"#nondirloalmiocapo2 Lisa ed Enrico mi mancano troppo, nella seconda serie dovevano farli interagire di più https://t.co/fEHDwcYxLW",negative,..\data\nondirloalmiocapo2\images\1289602820119748608.png,nondirloalmiocapo2,
46,1315284190418665473,Si incomincia a parlare della seconda ondata di coronavirus #DomenicaIn https://t.co/Pvqmt376qx,negative,..\data\domenicain\images\1315284190418665473.png,domenicain,MI VIENE LANSIA
47,1240777526592618502,"NOI NON CI MERITAVAMO DI SOFFRIRE COSÌ, LORO NON SE LO MERITAVANO. E VOI NON VI MERITATE LORO #DonMatteo12 https://t.co/OcOZfbLAru",negative,..\data\donmatteo12\images\1240777526592618502.png,donmatteo12,iea
48,1292489621180313600,#nondirloalmiocapo2 due puntate che vedono molto protagonista Nina uffa https://t.co/W9FO5ax7j7,negative,..\data\nondirloalmiocapo2\images\1292489621180313600.png,nondirloalmiocapo2,
49,1234611917240569857,"Nino Sarratore che va alla presentazione del libro di Lenù, rimane lo stesso un omm e mmerd anche se si è alzato per difenderla #LAmicaGeniale https://t.co/8UthKc1pND",negative,..\data\lamicageniale\images\1234611917240569857.png,lamicageniale,iisat natie
50,1317840975415435269,Al concerto romina senza mascherina #domenicain https://t.co/N1yJQkAwTk,negative,..\data\domenicain\images\1317840975415435269.png,domenicain,nesE
51,1315267421540933633,Maria De Filippi dimostra di non essere una esperta di televisione altrimenti si renderebbe conto di quanto sia televisivamente insignificante e noiosa quando racconta la propria vita #domenicain https://t.co/mMKSN5MFAx,negative,..\data\domenicain\images\1315267421540933633.png,domenicain, riaill
52,1297629712282517505,Aurora che odiosa  #nondirloalmiocapo2 https://t.co/kVYtRhoolk,negative,..\data\nondirloalmiocapo2\images\1297629712282517505.png,nondirloalmiocapo2,EMA SHE TI DICE li CERVELLOP
53,1241104533377466370,"Il mio commento post ultima puntata di #DonMatteo12. 
Avviso ai lettori: è un po' lungo (ma ho cercato di sistemare al meglio il flusso di pensieri che mi sono passati per la mente ed è pro Anna e Marco (o meglio quello che ne è rimasto), perché io sono e sempre sarò #TeamNardi https://t.co/xu1miHdzBY",negative,..\data\donmatteo12\images\1241104533377466370.png,donmatteo12,Non si pub cominciare un episodio concerte notizie
54,1319393932837588994,"“se potessi tornare indietro ti seguirei fino a Berlino”
NO RICCARDO NO #DOCNelleTueMani @pierspollon https://t.co/KDUPCRVHcf",negative,..\data\docnelletuemani\images\1319393932837588994.png,docnelletuemani,
55,1295076081217699840,#nondirloalmiocapo2 se non finisce questa puntata di techetechete https://t.co/vMGFSgV8ek,negative,..\data\nondirloalmiocapo2\images\1295076081217699840.png,nondirloalmiocapo2,fgh
56,1315274200299507712,"Ma che ce ne frega di Maurizio Costanzo, noi vogliamo il video con Sabrina Ferilli
 #DomenicaIn https://t.co/wwoFFgmfe9",negative,..\data\domenicain\images\1315274200299507712.png,domenicain,
57,1319384632195010564,#DocNelleTueMani Capito la stronzetta e una giornalista e sfrutta Ricky per rimanere nel ospedale e fare il servizio.🤬🤦‍♂️ https://t.co/BrX8j7783A,negative,..\data\docnelletuemani\images\1319384632195010564.png,docnelletuemani,SHAME SHAME SHAME
58,1235861737586352130,Finito #MasterChefIt anche quest’anno! Mi dispiace per Marisa che secondo me era molto molto brava! Di sicuro è anche davvero bella e forse per questo la rete non gliel’ha perdonato! https://t.co/lCJ7LLWpUj,negative,..\data\masterchefit\images\1235861737586352130.png,masterchefit,aIti
59,1234611626768240640,NO CAZZO ANCORA NINO TRA LE PALLE NO #LAmicaGeniale https://t.co/BFquWBcu8C,negative,..\data\lamicageniale\images\1234611626768240640.png,lamicageniale,
